DocID,TokenID,Token,Tag
S0022311514001640,S0022311514001640-0,The,O
S0022311514001640,S0022311514001640-1,vapour,B
S0022311514001640,S0022311514001640-2,phase,L
S0022311514001640,S0022311514001640-3,consists,O
S0022311514001640,S0022311514001640-4,of,O
S0022311514001640,S0022311514001640-5,a,O
S0022311514001640,S0022311514001640-6,number,B
S0022311514001640,S0022311514001640-7,of,I
S0022311514001640,S0022311514001640-8,different,I
S0022311514001640,S0022311514001640-9,gases,L
S0022311514001640,S0022311514001640-10,with,O
S0022311514001640,S0022311514001640-11,silicon,U
S0022311514001640,S0022311514001640-12,exhibiting,O
S0022311514001640,S0022311514001640-13,a,O
S0022311514001640,S0022311514001640-14,far,O
S0022311514001640,S0022311514001640-15,higher,O
S0022311514001640,S0022311514001640-16,partial,O
S0022311514001640,S0022311514001640-17,pressure,O
S0022311514001640,S0022311514001640-18,than,O
S0022311514001640,S0022311514001640-19,all,O
S0022311514001640,S0022311514001640-20,carbon,U
S0022311514001640,S0022311514001640-21,containing,O
S0022311514001640,S0022311514001640-22,species,O
S0022311514001640,S0022311514001640-23,over,O
S0022311514001640,S0022311514001640-24,the,O
S0022311514001640,S0022311514001640-25,full,O
S0022311514001640,S0022311514001640-26,temperature,O
S0022311514001640,S0022311514001640-27,range,O
S0022311514001640,S0022311514001640-28,.,O
S0022311514001640,S0022311514001640-29,As,O
S0022311514001640,S0022311514001640-30,an,O
S0022311514001640,S0022311514001640-31,immediate,O
S0022311514001640,S0022311514001640-32,result,O
S0022311514001640,S0022311514001640-33,the,O
S0022311514001640,S0022311514001640-34,vapour,U
S0022311514001640,S0022311514001640-35,contains,O
S0022311514001640,S0022311514001640-36,a,O
S0022311514001640,S0022311514001640-37,higher,O
S0022311514001640,S0022311514001640-38,amount,O
S0022311514001640,S0022311514001640-39,of,O
S0022311514001640,S0022311514001640-40,silicon,U
S0022311514001640,S0022311514001640-41,leaving,O
S0022311514001640,S0022311514001640-42,the,O
S0022311514001640,S0022311514001640-43,solid,B
S0022311514001640,S0022311514001640-44,phase,L
S0022311514001640,S0022311514001640-45,with,O
S0022311514001640,S0022311514001640-46,excess,O
S0022311514001640,S0022311514001640-47,carbon,U
S0022311514001640,S0022311514001640-48,.,O
S0022311514001640,S0022311514001640-49,This,O
S0022311514001640,S0022311514001640-50,carbon,U
S0022311514001640,S0022311514001640-51,is,O
S0022311514001640,S0022311514001640-52,likely,O
S0022311514001640,S0022311514001640-53,to,O
S0022311514001640,S0022311514001640-54,precipitate,B
S0022311514001640,S0022311514001640-55,on,I
S0022311514001640,S0022311514001640-56,the,I
S0022311514001640,S0022311514001640-57,surface,I
S0022311514001640,S0022311514001640-58,of,I
S0022311514001640,S0022311514001640-59,the,I
S0022311514001640,S0022311514001640-60,SiC,I
S0022311514001640,S0022311514001640-61,grains,L
S0022311514001640,S0022311514001640-62,",",O
S0022311514001640,S0022311514001640-63,a,O
S0022311514001640,S0022311514001640-64,process,O
S0022311514001640,S0022311514001640-65,that,O
S0022311514001640,S0022311514001640-66,becomes,O
S0022311514001640,S0022311514001640-67,very,O
S0022311514001640,S0022311514001640-68,rapid,O
S0022311514001640,S0022311514001640-69,as,O
S0022311514001640,S0022311514001640-70,the,O
S0022311514001640,S0022311514001640-71,temperature,O
S0022311514001640,S0022311514001640-72,approaches,O
S0022311514001640,S0022311514001640-73,2100K,O
S0022311514001640,S0022311514001640-74,[,O
S0022311514001640,S0022311514001640-75,24,O
S0022311514001640,S0022311514001640-76,],O
S0022311514001640,S0022311514001640-77,.,O
S0022311514001640,S0022311514001640-78,Within,O
S0022311514001640,S0022311514001640-79,the,O
S0022311514001640,S0022311514001640-80,TRISO,B
S0022311514001640,S0022311514001640-81,particle,L
S0022311514001640,S0022311514001640-82,the,O
S0022311514001640,S0022311514001640-83,SiC,U
S0022311514001640,S0022311514001640-84,layer,O
S0022311514001640,S0022311514001640-85,is,O
S0022311514001640,S0022311514001640-86,sandwiched,O
S0022311514001640,S0022311514001640-87,between,O
S0022311514001640,S0022311514001640-88,two,O
S0022311514001640,S0022311514001640-89,coatings,O
S0022311514001640,S0022311514001640-90,of,O
S0022311514001640,S0022311514001640-91,dense,O
S0022311514001640,S0022311514001640-92,carbon,U
